Release	ID	Number	Name	Faction	Type	ERROR	Name	Faction	Type	Glory	Description	Glory	ObjType	Restrictions	Set	Status	OrganisedPlay	WUOnline	Forsaken	Restricted	Forsaken (Relic)	Rotated	HotCount	HotPercentage	PopPercentage
Direchasm		DC258	Advancing Swarm	Universal	Objective		Advancing Swarm	Universal	Objective	1	Score this in an end phase if three or more friendly fighters have one or more Charge tokens.	1	End	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
Direchasm		DC265	Brutal Attrition	Universal	Objective		Brutal Attrition	Universal	Objective	1	Score this in an end phase if the number of enemy fighters out of action is equal to or greater than the number of surviving friendly fighters.	1	End	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
Direchasm		DC268	Cold-blooded Killers	Universal	Objective		Cold-blooded Killers	Universal	Objective	1	Score this in an end phase if two or more enemy fighters are out of action.	1	End	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
Direchasm		DC269	Demolish the Opposition	Universal	Objective		Demolish the Opposition	Universal	Objective	3	**Hybrid:** Scoret his in the third end phase if: \n There are no enemy fighters in enemy territory \n *Or:* There is no more than one surviving enemy fighter.	3	Third	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
Direchasm		DC277	Forbidding Strike	Universal	Objective		Forbidding Strike	Universal	Objective	2	**Surge, Dual:** Score this immediately after an activation in which a friendly fighter's **Attack action** took an enemy fighter out of action if: \n That was your first activation in this round \n *And:* That enemy fighter was holding an objective.	2	Surge	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
Direchasm		DC285	Impending Doom	Universal	Objective		Impending Doom	Universal	Objective	1	**Surge:** Score this immediately after an activation if one or more enemy fighters are adjacent to two or more friendly fighters.	1	Surge	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
Direchasm		DC288	Killing Strike	Universal	Objective		Killing Strike	Universal	Objective	1	**Surge:** Score this immediately after an activation in which a friendly fighter's **Attack action** took an enemy fighter out of action, if that was your first activation in this round.	1	Surge	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
Direchasm		DC294	Martial Adept	Universal	Objective		Martial Adept	Universal	Objective	1	**Hybrid:** Score this in an end phase if: \n One or more friendly fighters each have two or more **Attack action** upgrades \n *Or:* one or more friendly fighters each have three or more upgrades.	1	End	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
Direchasm		DC300	Orchestrated Kill	Universal	Objective		Orchestrated Kill	Universal	Objective	1	**Surge:** Score this immediately after a friendly fighter's **Attack action** that takes an enemy fighter out of action, fi the friendly fighter had one or more **supporting** fighters.	1	Surge	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
Direchasm		DC311	Promise of Destruction	Universal	Objective		Promise of Destruction	Universal	Objective	1	Score this in an end phase if there are one or more persisting gambits.	1	End	-	Silent Menace Universal Deck expansion	-	VVV	N	-	-	-	-	-	-	-
