Set	ID	Number	Name	Faction	Type	Glory	Name	Faction	Type	Glory	Description	Glory	ObjType	Restrictions	Set	Status	OrganisedPlay	WUOnline	Forsaken	Restricted	Forsaken (Relic)	Rotated	uFAQ	Tags	HotCount
Shadespire	1	1	A Worthy Skull	Garrek's Reavers	Objective	1	A Worthy Skull	Garrek's Reavers	Objective	1	Score this in an end phase if your warband took an enemy leader out of action in the preceding action phase.	1	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	2	2	Blood for the Blood God!	Garrek's Reavers	Objective	1	Blood for the Blood God!	Garrek's Reavers	Objective	1	Score this immediately if three or more of your fighters made a Charge action in this phase. *(Able to be scored if you draw this card after the condition was met)*.	1	Surge	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	3	3	Coward!	Garrek's Reavers	Objective	1	Coward!	Garrek's Reavers	Objective	1	Score this immediately if an enemy fighter begins a Move action adjacent to one of your fighters and ends it adjacent to none of your fighters.	1	Surge	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	4	4	Draw the Gaze of Khorne	Garrek's Reavers	Objective	1	Draw the Gaze of Khorne	Garrek's Reavers	Objective	1	Score this immediately if your warband takes two or more enemy fighters out of action in this phase. *(Able to be scored if you draw this card after the condition was met)*.	1	Surge	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	5	5	It Begins	Garrek's Reavers	Objective	1	It Begins	Garrek's Reavers	Objective	1	Score this in an end phase if at least one fighter from each warband is out of action.	1	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	6	6	Khorne Cares Not	Garrek's Reavers	Objective	2	Khorne Cares Not	Garrek's Reavers	Objective	2	Score this in an end phase if five or more fighters are out of action.	2	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	7	7	Khorne's Champion	Garrek's Reavers	Objective	6	Khorne's Champion	Garrek's Reavers	Objective	6	Score this in the third end phase if all fighters except one of your fighters are out of action.	6	Third	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	8	8	Let the Blood Flow	Garrek's Reavers	Objective	2	Let the Blood Flow	Garrek's Reavers	Objective	2	Score this immediately if three or more of your fighters made a successful Attack action in this phase. *(Able to be scored if you draw this card after the condition was met)*.	2	Surge	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	9	9	There is Only Slaughter	Garrek's Reavers	Objective	1	There is Only Slaughter	Garrek's Reavers	Objective	1	Score this in an end phase if no fighter is holding an objective.	1	End	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	10	10	Blood Offering	Garrek's Reavers	Ploy		Blood Offering	Garrek's Reavers	Ploy	-	Choose a friendly fighter. They suffer 1 damage. Roll two extra attack dice for their first Attack action in the next activation.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	11	11	Blood Rain	Garrek's Reavers	Ploy		Blood Rain	Garrek's Reavers	Ploy	-	All Attack actions in the next activation have the :atFury: characteristic, even if they would normally have the :atSmash: characteristic.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	12	12	Boon of Khorne	Garrek's Reavers	Ploy		Boon of Khorne	Garrek's Reavers	Ploy	-	**Reaction:** Play this after a friendly fighter's Attack action that takes an enemy fighter out of action. Remove all wound tokens from one friendly fighter.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	13	13	Desecrate	Garrek's Reavers	Ploy		Desecrate	Garrek's Reavers	Ploy	-	Remove one objective that you hold from the battlefield.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	14	14	Final Blow	Garrek's Reavers	Ploy		Final Blow	Garrek's Reavers	Ploy	-	**Reaction:** Play this after an enemy fighter's Attack action that takes an adjacent friendly fighter out of action. Their attacker suffers 1 damage.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	15	15	Fuelled by Slaughter	Garrek's Reavers	Ploy		Fuelled by Slaughter	Garrek's Reavers	Ploy	-	**Reaction:** Play this after an Attack action or ploy that takes a fighter out of action. A friendly fighter can make an Attack action.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	16	16	Insensate	Garrek's Reavers	Ploy		Insensate	Garrek's Reavers	Ploy	-	The first friendly fighter who suffers any amount of damage in the next activation only suffers one damage.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	17	17	Khorne Calls	Garrek's Reavers	Ploy		Khorne Calls	Garrek's Reavers	Ploy	-	Roll one extra attack dice for your first Attack action in the next activation.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	18	18	Rebirth in Blood	Garrek's Reavers	Ploy		Rebirth in Blood	Garrek's Reavers	Ploy	-	**Reaction:** Play this after an Attack action or ploy that takes your last surviving fighter out of action. Roll a defence dice. If you roll a :dfBlock: or :dfCrit: remove all wound tokens from them, and place them on a starting hex in your territory.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	19	19	Skulls for the Skull Throne!	Garrek's Reavers	Ploy		Skulls for the Skull Throne!	Garrek's Reavers	Ploy	-	**Reaction:** Play this after a friendly fighter's Attack action that takes an enemy fighter out of action. Draw up to two power cards.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	20	20	Berserk Charge	Garrek's Reavers	Upgrade		Berserk Charge	Garrek's Reavers	Upgrade	-	Both :atFury: and :atSmash: symbols are successes when this fighter makes a Charge action.	-	-	Blooded Saek	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	21	21	Bloodslick	Garrek's Reavers	Upgrade		Bloodslick	Garrek's Reavers	Upgrade	-	+1 Defence.	-	-	Garrek Gorebeard	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	22	22	Deadly Spin	Garrek's Reavers	Upgrade		Deadly Spin	Garrek's Reavers	Upgrade	-	[:Hex: 1 - :atFury: 3 - :boom: 1] \n Targets adjacent enemy fighters - roll for each.	-	-	Targor	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	23	23	Ever-Advancing	Garrek's Reavers	Upgrade		Ever-Advancing	Garrek's Reavers	Upgrade	-	**Reaction:** When this fighter could be driven back during an Attack action (whether or not your opponent chooses to do so), you can instead push them one hex.	-	-	Garrek Gorebeard	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	24	24	Frenzy	Garrek's Reavers	Upgrade		Frenzy	Garrek's Reavers	Upgrade	-	Roll an extra attack dice when this fighter makes a Charge action.	-	-	-	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	25	25	Grisly Trophy	Garrek's Reavers	Upgrade		Grisly Trophy	Garrek's Reavers	Upgrade	-	When this fighter takes an enemy fighter out of action, gain 1 additional glory point.	-	-	Garrek Gorebeard	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	26	26	Terrifying Howl	Garrek's Reavers	Upgrade		Terrifying Howl	Garrek's Reavers	Upgrade	-	**Action:** Push each adjacent enemy fighter one hex.	-	-	Karsus the Chained	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	27	27	Unstoppable Charge	Garrek's Reavers	Upgrade		Unstoppable Charge	Garrek's Reavers	Upgrade	-	When this fighter makes a Charge action they can move through other fighters, but their move must end in an empty hex.	-	-	Blooded Saek	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
Shadespire	28	28	Whirlwind of Death	Garrek's Reavers	Upgrade		Whirlwind of Death	Garrek's Reavers	Upgrade	-	+1 Damage to all Attack actions with a Range of 1 or 2.	-	-	Karsus the Chained	Core set	-	VVV	V	-	-	-	-	-	SSduplicate	0
